店名,地點(百貨名稱 樓層),種類(大項),種類(細項 for餐廳),價位($$$ 參考google/FB),
頂鮮,台北101 86F,餐廳,中式,$$$$,
2D CAFE,台北101 B1,餐廳,西式,$$,
BUCKSKIN TAPROOM,台北101 B1,餐廳,西式,$$,
DA ANTONIO大安東尼義大利菜,台北101 5F,餐廳,西式,$$,
隨意鳥地方101義大利菜餐廳,台北101 85F,餐廳,西式,$$$,
DREAMERS COFFEE ROASTERS,台北101 B1,餐廳,西式,$$,
義瑪卡多,台北101 4F,餐廳,西式,$$$,
JEAN-PAUL HEVIN,台北101 4F,餐廳,西式,,
隨意商務酒吧,台北101 36F,餐廳,西式,$$,
TWG TEA,台北101 5F,餐廳,西式,$$$,
隱肆好食,台北101 4F,餐廳,日式,$$,
SAKIMOTO BAKERY 嵜本 高級生吐司專門店,台北101 B1,餐廳,日式,$$$,
食令SHABU,台北101 4F,餐廳,火鍋,$$,
SALT & STONE,台北101 4F,餐廳,美式,$$,
STARBUCKS RESERVES 星巴克101典藏門市,台北101 B1,餐廳,美式,$$,
鼎泰豐,台北101 B1,餐廳,中式,$$,
THE上海,台北101 4F,餐廳,中式,$$,
紅花鐵板燒,台北101 5F,餐廳,中式,$$,
果滴滴,台北101 5F,餐廳,中式,$$$$,
AESOP,台北101 B1,美妝保養品,,,
CHANEL BEAUTY ,台北101 B1,美妝保養品,,,
DIOR BEAUTY,台北101 B1,美妝保養品,,,
JO MALONE LONDON,台北101 B1,美妝保養品,,,
蕾舒翠,台北101 B1,美妝保養品,,,
THE BODY SHOP,台北101 B1,美妝保養品,,,
YVES SAINT LAURENT BEAUTÉ ,台北101 B1,美妝保養品,,,
ADIDAS SWC,台北101 B1,運動用品,,,
NIKE KICKS LOUNGE,台北101 B1,運動用品,,,
MLB,台北101 B1,運動用品,,,
太興茶餐廳,ATT4FUN 1F,餐廳,港式,$$,
樂子THE DINER,ATT4FUN 1F,餐廳,美式,$$,
乾杯燒肉居酒屋,ATT4FUN 3F,餐廳,日式,$$$,
THAI J,ATT4FUN 10F,餐廳,泰式,$$$,
燒肉中山,ATT4FUN 10F,餐廳,日式,$$$,
饗食天堂,ATT4FUN 6F,餐廳,,$$$,
不糾結,ATT4FUN 6F,餐廳,港式,$$,
薄多義,ATT4FUN 5F,餐廳,義式,$$,
涓豆腐,ATT4FUN 5F,餐廳,韓式,$$,
YAYOI彌生軒,ATT4FUN 5F,餐廳,日式,$$,
SO BANGKOK,ATT4FUN 5F,餐廳,泰式,$$,
朝鮮饌,ATT4FUN 5F,餐廳,韓式,$$,
THE CHIPS 美式餐廳,ATT4FUN 5F,餐廳,美式,$$,
發起人肉骨茶,ATT4FUN 5F,餐廳,新加波料理,$,
I'M KIMCHI,ATT4FUN 5F,餐廳,韓式,$$$,
REVE CAFE黑浮咖啡,ATT4FUN 5F,餐廳,,$$,
藏壽司 KURA SUSHI,ATT4FUN 4F,餐廳,日式,$$,
MOOMIN CAFE,ATT4FUN 4F,餐廳,,$$,
兩餐,ATT4FUN 4F,餐廳,韓式,$$,
燒肉神保町,ATT4FUN 4F,餐廳,日式,$$,
賣飯食,ATT4FUN 4F,餐廳,日式,$$,
札幌．炎神拉麵,ATT4FUN 4F,餐廳,日式,$$,
屈臣氏WASTONS,ATT4FUN 1F,美妝保養品,,,
ABC-MART,ATT4FUN 3F,運動用品,,,
TOMOD'S,ATT4FUN 3F,美妝保養品,,,
鼎泰豐,新光三越A4 B2,餐廳,中式,$$,
樂軒松阪亭,新光三越A4 6F,餐廳,日式,$$$$,
黑毛屋本家,新光三越A4 6F,餐廳,日式,$$$,
香茅廚,新光三越A4 6F,餐廳,泰式,$$$,
劍持屋,新光三越A4 5F,餐廳,日式,$$$,
夜上海,新光三越A4 5F,餐廳,中式,$$$,
HERBIVORE,新光三越A4 2F,餐廳,素食,$$,
添好運,新光三越A8 B2,餐廳,中式,$$,
勝博殿,新光三越A8 3F,餐廳,日式,$$,
珍寶海鮮,新光三越A8 3F,餐廳,新加坡餐,$$$$,
WILDWOOD,新光三越A9 5F,餐廳,西式,$$$,
邁泉,新光三越A9 6F,餐廳,日式,$$,
教父牛排,新光三越A9 6F,餐廳,美式,$$$$,
銀杏川酒菜館,新光三越A9 6F,餐廳,中式,$$$$,
老鼎旺,新光三越A9 6F,餐廳,火鍋,$$$,
享．香檳海鮮餐酒館,新光三越A9 6F,餐廳,西式,$$$$,
兩班家,新光三越A9 6F,餐廳,韓式,$$$,
PAPPARICH,新光三越A9 7F,餐廳,馬來西亞餐,$$,
瓦城,新光三越A9 7F,餐廳,泰式,$$,
初魚 鮨,新光三越A9 7F,餐廳,日式,$$$,
紅豆食府,新光三越A9 7F,餐廳,中式,$$$,
橘色涮涮屋,新光三越A9 7F,餐廳,火鍋,$$$,
老乾杯,新光三越A9 8F,餐廳,日式,$$$,
欣葉,新光三越A9 8F,餐廳,台式,$$,
10/10 APOTHECARY,新光三越A4 1F,美妝保養品,,,
AESOP,新光三越A4 1F,美妝保養品,,,
CHANEL,新光三越A4 1F,美妝保養品,,,
CHANTECAILLE,新光三越A4 1F,美妝保養品,,,
CLE DE PEAU,新光三越A4 1F,美妝保養品,,,
DIOR,新光三越A4 1F,美妝保養品,,,
ESTEE LAUDER,新光三越A4 1F,美妝保養品,,,
KANEBO,新光三越A4 1F,美妝保養品,,,
LA MER,新光三越A4 1F,美妝保養品,,,
LA PRAIRIE,新光三越A4 1F,美妝保養品,,,
LANCOME ,新光三越A4 1F,美妝保養品,,,
POLA,新光三越A4 1F,美妝保養品,,,
SHISEIDO,新光三越A4 1F,美妝保養品,,,
SISLEY,新光三越A4 1F,美妝保養品,,,
SKII,新光三越A4 1F,美妝保養品,,,
JO MALONE LONDON,新光三越A4 2F,美妝保養品,,,
CLE DE PEAU,新光三越A4 2F,美妝保養品,,,
鋒恩香水,新光三越A4 2F,美妝保養品,,,
ADDICTION,新光三越A8 1F,美妝保養品,,,
ALBION,新光三越A8 1F,美妝保養品,,,
AUGUSTINUS BADER,新光三越A8 1F,美妝保養品,,,
AVEDA,新光三越A8 1F,美妝保養品,,,
BIOTHERM,新光三越A8 1F,美妝保養品,,,
BOBBI BROWN,新光三越A8 1F,美妝保養品,,,
CHANEL,新光三越A8 1F,美妝保養品,,,
CHANTECAILLE,新光三越A8 1F,美妝保養品,,,
CLARINS,新光三越A8 1F,美妝保養品,,,
CLE DE PEAU,新光三越A8 1F,美妝保養品,,,
CLINIQUE ,新光三越A8 1F,美妝保養品,,,
COSME DECORTE,新光三越A8 1F,美妝保養品,,,
DARPHIN,新光三越A8 1F,美妝保養品,,,
DIOR,新光三越A8 1F,美妝保養品,,,
ELIZABETH ARDEN,新光三越A8 1F,美妝保養品,,,
ESPACE BEAUTE,新光三越A8 1F,美妝保養品,,,
ESTEE LAUDER,新光三越A8 1F,美妝保養品,,,
EVEROSE,新光三越A8 1F,美妝保養品,,,
GIORGIO ARMANI ,新光三越A8 1F,美妝保養品,,,
GUERLAIN,新光三越A8 1F,美妝保養品,,,
HELENA RUBINSTEIN,新光三越A8 1F,美妝保養品,,,
JO MALONE LONDON,新光三越A8 1F,美妝保養品,,,
JURLIQUE,新光三越A8 1F,美妝保養品,,,
KANEBO,新光三越A8 1F,美妝保養品,,,
KIEHL'S,新光三越A8 1F,美妝保養品,,,
KOSE,新光三越A8 1F,美妝保養品,,,
LA MER,新光三越A8 1F,美妝保養品,,,
靜岡勝政日式豬排,統一時代 B2,餐廳,日式,$$,
尾張 雞三和 親子丼專賣店,統一時代 B2,餐廳,日式,$$,
京都 餃子の王將,統一時代 B2,餐廳,日式,$$,
海壽司 HI SUSHI 迴轉壽司,統一時代 B2,餐廳,日式,$$,
北村豆腐家,統一時代 B2,餐廳,韓式,$$,
小南門 傳統豆花,統一時代 B2,餐廳,台式,$,
首塢爾韓式料理,統一時代 B2,餐廳,韓式,$$,
21PLUS 烤雞,統一時代 B2,餐廳,美式,$$,
杏桃鬆餅屋 UZNA OMOM,統一時代 1F,餐廳,義式,$$,
TGI FRIDAYS 星期五美式餐廳,統一時代 2F,餐廳,美式,$$,
咖啡瑪榭 CAFE MARCHE,統一時代 2F,餐廳,義式,$$,
STARBUCKS COFFEE 星巴克,統一時代 2F,餐廳,美式,$$,
涮乃葉 日式鍋物吃到飽,統一時代 3F,餐廳,火鍋,$$,
涓豆腐,統一時代 7F,餐廳,韓式,$$,
MO-MO-PARADISE 壽喜燒,統一時代 7F,餐廳,火鍋,$$,
EST,統一時代 1F,美妝保養品,,,
SEACRET,統一時代 1F,美妝保養品,,,
SABON,統一時代 1F,美妝保養品,,,
IPSA,統一時代 1F,美妝保養品,,,
PANDORA,統一時代 1F,美妝保養品,,,
ROOTS,統一時代 4F,運動用品店,,,
FILA,統一時代 4F,運動用品店,,,
ADIDAS,統一時代 4F,運動用品店,,,
NIKE  ,統一時代 4F,運動用品店,,,
太陽番茄拉麵,誠品信義 B2,餐廳,日式,$$,
東都鐵板燒,誠品信義 B2,餐廳,台式,$$,
麥當勞 MCDONALD’S,誠品信義 B2,餐廳,美式,$,
麵屋一燈 EXPRESS,誠品信義 B2,餐廳,日式,$,
普利亞義大利麵,誠品信義 B2,餐廳,義式,$,
吉甜不辣,誠品信義 B2,餐廳,台式,$,
鬍鬚張魯肉飯,誠品信義 B2,餐廳,台式,$$,
COCO 壹番屋,誠品信義 B2,餐廳,日式,$$,
温野菜,誠品信義 4F,餐廳,火鍋,$$,
KIKI 餐廳,誠品信義 4F,餐廳,台式,$$,
EDN,誠品信義 1F,美妝保養品,,,
蕾舒翠 L'HERBOFLORE,誠品信義 1F,美妝保養品,,,
ADOPT香水,誠品信義 1F,美妝保養品,,,
ASPORT,誠品信義 1F,運動用品店,,,
NEW BALANCE,誠品信義 1F,運動用品店,,,
CLE  DE PEAU BEAUTE 肌膚之鑰,遠百信義A13 1F,美妝保養品,,,
DIOR,遠百信義A13 1F,美妝保養品,,,
ESTEE LAUDER,遠百信義A13 1F,美妝保養品,,,
GUERLAIN,遠百信義A13 1F,美妝保養品,,,
LA MER,遠百信義A13 1F,美妝保養品,,,
LANCOME,遠百信義A13 1F,美妝保養品,,,
SHISEIDO,遠百信義A13 1F,美妝保養品,,,
SISLEY,遠百信義A13 1F,美妝保養品,,,
SKII,遠百信義A13 1F,美妝保養品,,,
LADY M,遠百信義A13 1F,餐廳,甜品,,
鼎泰豐,遠百信義A13 1F,餐廳,中式,$$,
鼎泰豐,遠百信義A13 2F,餐廳,中式,$$,
CRYANO ART,遠百信義A13 2F,美妝保養品,,,
PENHALIGON'S,遠百信義A13 2F,美妝保養品,,,
CREED,遠百信義A13 2F,美妝保養品,,,
NAIL NAIL,遠百信義A13 3F,美妝保養品,,,
STARBRANDS+,遠百信義A13 3F,美妝保養品,,,
STEAK BISTRO和洋,遠百信義A13 3F,餐廳,美式,$$$,
1010湘食堂,遠百信義A13 4F,餐廳,中式,$$,
偷飯賊,遠百信義A13 4F,餐廳,韓式,$$,
四川吳抄手,遠百信義A13 4F,餐廳,中式,$$,
度小月,遠百信義A13 4F,餐廳,台式,$$,
朱記餡餅粥店,遠百信義A13 4F,餐廳,台式,$$,
ADIDAS ORIGINALS,遠百信義A13 6F,運動用品店,,,
ARC’TERYX,遠百信義A13 6F,運動用品店,,,
BIRKENSTOCK,遠百信義A13 6F,運動用品店,,,
CARHART  WIP,遠百信義A13 6F,運動用品店,,,
ELLESSE,遠百信義A13 6F,運動用品店,,,
FJALLRAVEN,遠百信義A13 6F,運動用品店,,,
GO MT.,遠百信義A13 6F,運動用品店,,,
REEBOK CLASSIC,遠百信義A13 6F,運動用品店,,,
TRAVELER,遠百信義A13 6F,運動用品店,,,
WHITE ROCK,遠百信義A13 6F,運動用品店,,,
ADIDAS,遠百信義A13 7F,運動用品店,,,
ASICS,遠百信義A13 7F,運動用品店,,,
BROOKS,遠百信義A13 7F,運動用品店,,,
CONVERSE,遠百信義A13 7F,運動用品店,,,
FILA,遠百信義A13 7F,運動用品店,,,
K-SWISS,遠百信義A13 7F,運動用品店,,,
LE COQ SPORTIF,遠百信義A13 7F,運動用品店,,,
NEW BALANCE,遠百信義A13 7F,運動用品店,,,
NIKE,遠百信義A13 7F,運動用品店,,,
PUMA,遠百信義A13 7F,運動用品店,,,
SKCHERS,遠百信義A13 7F,運動用品店,,,
UNDER ARMOUR,遠百信義A13 7F,運動用品店,,,
涮乃葉壽司日式涮涮鍋,遠百信義A13 7F,餐廳,火鍋,$$,
L'ERBOLARIO 蕾莉歐,遠百信義A13 8F,美妝保養品,,,
旭集 和食集錦,遠百信義A13 9F,餐廳,日式,$$$,
