,屋名,地址,1)永慶房屋物件編號,2)售價,3)建物面積,4)屋齡,5)房(室),站名,6)物件與最近捷運站(已正式營運)的距離
0,永久棟距方正三樓,台北市士林區華齡街,YC1174621,"2,180 萬",建物 35.52坪,39.0年            ,3房(室)2廳2衛            ,捷運劍潭站出口2, 415 
0,近捷運金雞蛋公寓,台北市士林區小南街,YC1145981,888 萬,建物 9.75坪,43.4年            ,0房(室)1廳1衛            ,捷運劍潭站出口1, 410 
0,低樓層公寓2樓,台北市士林區小西街,YC1165225,"1,368 萬",建物 23.79坪,50.1年            ,2房(室)1廳1衛            ,捷運士林站出口2, 378 
0,閒雲野鶴白雲山莊,台北市士林區仰德大道三段,YC1048769,"1,750 萬",建物 46.95坪,44.4年            ,4房(室)2廳2衛            ,沒有捷運站,NONE
0,天母西路邊間庭院,台北市士林區天母西路,YC912183,"3,880 萬",建物 34.69坪,43.7年            ,3房(室)2廳2衛            ,規劃中或未通車,NONE
0,適文武百業大空間,台北市士林區華聲街,YC968651,"3,800 萬",建物 71.90坪,43.7年            ,0房(室)2廳2衛            ,捷運士林站出口1, 451 
0,新婚首購三房小宅,台北市士林區和豐街,YC1141406,"1,800 萬",建物 32.67坪,52.9年            ,3房(室)2廳1衛            ,捷運劍潭站出口2, 569 
0,劍潭捷運小資宅,台北市士林區通河街,YC1165179,700 萬,建物 10.88坪,52.3年            ,3房(室)3廳1衛            ,捷運劍潭站出口2, 664 
0,稀有低樓層三房,台北市士林區福港街,YC963876,"1,728 萬",建物 34.04坪,47.5年            ,3房(室)2廳2衛            ,捷運劍潭站出口2, 707 
0,大空間裝潢美屋,台北市士林區通河東街一段,YC1127249,"1,988 萬",建物 32.71坪,45.8年            ,2房(室)2廳2衛            ,規劃中或未通車,NONE
0,白雲山莊景觀社區,台北市士林區仰德大道三段,YC1085042,"1,988 萬",建物 43.26坪,44.4年            ,3房(室)2廳2衛            ,沒有捷運站,NONE
0,百齡方正大空間,台北市士林區福港街,YC1149449,"1,480 萬",建物 20.92坪,49.4年            ,4房(室)3廳2衛            ,捷運劍潭站出口2, 700 
0,低樓層士東三房,台北市士林區中山北路六段,YC1102060,"1,850 萬",建物 30.33坪,46.3年            ,3房(室)2廳2衛            ,規劃中或未通車,NONE
0,士林捷運稀有2樓,台北市士林區小東街,YC875445,"2,368 萬",建物 32.35坪,46.3年            ,2房(室)2廳2衛            ,捷運士林站出口2, 377 
0,邊間採光四房美寓,台北市士林區社正路,YC1137946,"1,280 萬",建物 30.47坪,42.7年            ,4房(室)2廳2衛            ,規劃中或未通車,NONE
0,捷運站旁方正三房,台北市士林區磺溪街,YC1131830,"2,680 萬",建物 39.86坪,34.3年            ,3房(室)2廳2衛            ,捷運芝山站出口2, 314 
0,福港美妝三樓,台北市士林區福港街,YC1184869,"1,988 萬",建物 31.23坪,44.8年            ,2房(室)2廳2衛            ,規劃中或未通車,NONE
0,劍潭稀有庭院一樓,台北市士林區承德路四段,YC1184872,"2,680 萬",建物 29.17坪,53.0年            ,3房(室)2廳1衛            ,捷運劍潭站出口2, 502 
0,前港公園方正三房,台北市士林區華齡街,YC1148158,"1,880 萬",建物 30.37坪,43.1年            ,3房(室)2廳1衛            ,捷運劍潭站出口2, 571 
0,社中街質感三樓,台北市士林區社中街,YC1175400,"1,650 萬",建物 26.70坪,46.7年            ,2房(室)2廳1衛            ,規劃中或未通車,NONE
0,士東國小方正美寓,台北市士林區中山北路六段,YC1149691,"2,280 萬",建物 34.49坪,42.7年            ,3房(室)2廳2衛            ,規劃中或未通車,NONE
0,邊間大庭院一樓,台北市士林區永平街,YC1098507,"2,380 萬",建物 27.90坪,42.9年            ,2房(室)1廳1.5衛            ,沒有捷運站,NONE
0,劍潭捷運置產頂加,台北市士林區前港街,YC1148136,"1,880 萬",建物 37.66坪,41.3年            ,3房(室)3廳2衛            ,捷運劍潭站出口2, 282 
0,邊間通風方正鼎家,台北市士林區葫蘆街,YC1097776,"1,650 萬",建物 33.82坪,45.2年            ,7房(室)4廳3衛            ,規劃中或未通車,NONE
0,投幣洗衣黃金店面,台北市士林區通河街,YC1094579,"2,980 萬",建物 20.18坪,50.4年            ,0房(室)1廳1衛            ,捷運劍潭站出口2, 448 
0,稀有邊間永平一樓,台北市士林區永平街,YC1096182,"3,500 萬",建物 56.81坪,34.0年            ,1房(室)2廳1衛            ,規劃中或未通車,NONE
0,社子大土地一樓,台北市士林區延平北路六段,YC1085200,"8,800 萬",建物 26.33坪,43.3年            ,0房(室)2廳1衛            ,沒有捷運站,NONE
0,天母國小旁極美寓,台北市士林區天母北路,YC1165205,"2,380 萬",建物 36.30坪,41.8年            ,3房(室)2廳2衛            ,沒有捷運站,NONE
0,六段稀有車庫一樓,台北市士林區中山北路六段,YC1132142,"3,480 萬",建物 32.82坪,37.5年            ,3房(室)2廳2衛            ,規劃中或未通車,NONE
0,近捷運公寓2樓,台北市士林區小西街,YC1165226,"1,850 萬",建物 28.13坪,41.8年            ,3房(室)2廳1.5衛            ,捷運士林站出口2, 432 
0,通河西街一樓,台北市士林區通河西街一段,YC1129881,"2,188 萬",建物 25.99坪,54.2年            ,0房(室)1廳0衛            ,規劃中或未通車,NONE
0,士林捷運邊間三房,台北市士林區中山北路五段,YC1121869,"2,780 萬",建物 43.69坪,43.0年            ,3房(室)2廳2衛            ,捷運士林站出口1, 574 
0,士林天母置產首選,台北市士林區福華路,YC1133484,"2,180 萬",建物 24.84坪,44.3年            ,8房(室)0廳3衛            ,捷運芝山站出口2, 113 
0,專任獨家庭院一樓,台北市士林區至善路二段,YC1149292,"2,788 萬",建物 27.50坪,36.7年            ,1房(室)3廳1衛            ,沒有捷運站,NONE
0,享受生活庭院美居,台北市士林區中山北路七段,YC1123137,"3,980 萬",建物 34.25坪,43.7年            ,4房(室)2廳3衛            ,沒有捷運站,NONE
0,三面採光邊間二樓,台北市士林區中山北路七段,YC1137492,"2,780 萬",建物 35.55坪,44.2年            ,4房(室)2廳2衛            ,沒有捷運站,NONE
0,天玉街公寓三樓,台北市士林區天玉街,YC1101893,"1,650 萬",建物 17.02坪,51.9年            ,2房(室)1廳1衛            ,沒有捷運站,NONE
0,近捷運二樓美寓,台北市士林區福壽街,YC1135022,"1,880 萬",建物 15.50坪,57.7年            ,3房(室)1廳2衛            ,捷運士林站出口1, 246 
